,epoch,batch_no,reg_loss,class_loss,global_batch
0,0,1,13.435531616210938,0.9664039015769958,0
1,0,10,5.910903453826904,0.922583818435669,1
2,0,20,1.8268108367919922,0.9173896908760071,2
3,0,30,1.5879859924316406,0.8658106327056885,3
4,0,40,0.8264688849449158,1.1457184553146362,4
5,0,50,0.9538547992706299,0.703755795955658,5
6,0,60,1.0968636274337769,0.7304673790931702,6
7,0,70,1.1210613250732422,0.7863152027130127,7
8,0,80,0.18307290971279144,0.6536496877670288,8
9,0,90,0.682708740234375,0.7039486169815063,9
10,0,100,0.7785791754722595,0.8856084942817688,10
11,0,110,0.6058704257011414,0.8877686858177185,11
12,0,120,1.1060187816619873,0.866759717464447,12
13,0,130,0.6511716842651367,0.5442970991134644,13
14,0,140,0.8171385526657104,0.6102409362792969,14
15,0,150,0.5067150592803955,0.5286641120910645,15
16,0,160,0.5039762854576111,0.9127296805381775,16
17,0,170,0.4808201193809509,0.2521898150444031,17
18,0,180,0.5219632983207703,1.3024005889892578,18
19,0,190,0.18141597509384155,1.2502866983413696,19
20,0,200,0.7650492787361145,0.4673738479614258,20
21,0,210,0.8284327983856201,0.4217170476913452,21
22,0,220,1.0278409719467163,0.4164270758628845,22
23,0,230,0.583154559135437,0.82255619764328,23
24,0,240,0.4730789065361023,0.8461992144584656,24
25,0,250,0.5177081227302551,0.21574486792087555,25
26,0,260,0.8301935195922852,0.22722938656806946,26
27,0,270,0.5667862892150879,0.7443795204162598,27
28,0,280,0.5767641067504883,0.35079559683799744,28
29,0,290,0.41454440355300903,0.30919691920280457,29
30,0,300,0.5068749785423279,0.6243590712547302,30
31,0,310,0.48114457726478577,0.6791626214981079,31
32,0,320,0.2280026078224182,0.7112806439399719,32
33,0,330,0.6788211464881897,0.28723812103271484,33
34,0,340,0.535980761051178,0.39384159445762634,34
35,0,350,0.18085676431655884,0.18545323610305786,35
36,0,360,0.6602197885513306,0.6822265982627869,36
37,0,370,0.34049245715141296,0.4562719762325287,37
38,0,380,1.187925100326538,0.7094117403030396,38
39,0,390,0.5150543451309204,0.3613635301589966,39
40,0,400,0.2470347285270691,0.4414913058280945,40
41,0,410,0.4201006591320038,0.18008774518966675,41
42,0,420,0.7267611622810364,0.8681820631027222,42
43,0,430,0.28945648670196533,0.1163211315870285,43
44,0,440,0.30206960439682007,0.4241299629211426,44
45,0,450,0.4663163423538208,1.1135598421096802,45
46,0,460,0.44227278232574463,0.26999902725219727,46
47,0,470,0.34668803215026855,0.7036747336387634,47
48,0,480,0.4328421354293823,0.06919736415147781,48
49,0,490,0.1736365556716919,0.15480828285217285,49
50,0,500,0.4773657023906708,0.8657428026199341,50
51,0,510,0.46860647201538086,0.22078250348567963,51
52,0,520,0.37759658694267273,0.46249839663505554,52
53,0,530,0.39125189185142517,0.06096659228205681,53
54,0,540,0.42302608489990234,0.08957992494106293,54
55,0,550,0.1930886209011078,0.539473831653595,55
56,0,560,0.40725377202033997,0.31702643632888794,56
57,1,1,0.5260862112045288,0.12762388586997986,57
58,1,10,0.23176749050617218,0.44836199283599854,58
59,1,20,0.1198221743106842,0.280692458152771,59
60,1,30,0.2862531542778015,0.04107062518596649,60
61,1,40,0.47837361693382263,0.16368216276168823,61
62,1,50,0.42744332551956177,0.057213202118873596,62
63,1,60,0.23682722449302673,0.6722910404205322,63
64,1,70,0.42796066403388977,0.7509967088699341,64
65,1,80,0.133732870221138,0.1370922029018402,65
66,1,90,0.2645024061203003,0.13944026827812195,66
67,1,100,0.15016105771064758,0.1030760183930397,67
68,1,110,0.2023848593235016,0.05181151628494263,68
69,1,120,0.3134167790412903,0.03299226611852646,69
70,1,130,0.34459203481674194,0.5810754895210266,70
71,1,140,0.4173663258552551,0.9558926820755005,71
72,1,150,0.3440205454826355,0.7347381711006165,72
73,1,160,0.4178829789161682,0.47518107295036316,73
74,1,170,0.5604851245880127,0.11431267857551575,74
75,1,180,0.26895201206207275,0.4874188303947449,75
76,1,190,0.4042421579360962,0.30493831634521484,76
77,1,200,0.2648372948169708,0.12134646624326706,77
78,1,210,0.1471630036830902,0.3453521430492401,78
79,1,220,0.47735685110092163,0.06600634753704071,79
80,1,230,0.05165120214223862,0.4518868327140808,80
81,1,240,0.11335504800081253,0.3750157654285431,81
82,1,250,0.16134361922740936,0.050448283553123474,82
83,1,260,0.19629468023777008,0.37080010771751404,83
84,1,270,0.29648447036743164,0.6744294762611389,84
85,1,280,0.23843254148960114,0.16572004556655884,85
86,1,290,0.2610630691051483,0.7452656626701355,86
87,1,300,0.19055309891700745,0.08302038162946701,87
88,1,310,0.1471555531024933,0.022692998871207237,88
89,1,320,0.0476493313908577,0.0631420910358429,89
90,1,330,0.14032670855522156,0.2615143656730652,90
91,1,340,0.728213369846344,0.23996089398860931,91
92,1,350,0.31360071897506714,0.06750065088272095,92
93,1,360,0.5121050477027893,0.34764379262924194,93
94,1,370,0.44742557406425476,0.15414468944072723,94
95,1,380,0.4078109860420227,0.03602692484855652,95
96,1,390,0.20698752999305725,0.04229475185275078,96
97,1,400,0.04273315519094467,0.16720452904701233,97
98,1,410,0.41021794080734253,0.2771095633506775,98
99,1,420,0.30023193359375,0.2556164264678955,99
100,1,430,0.3428090810775757,0.03421659767627716,100
101,1,440,0.37656551599502563,0.2688673734664917,101
102,1,450,0.16965478658676147,0.33919304609298706,102
103,1,460,0.07666662335395813,0.6094940304756165,103
104,1,470,0.21116903424263,0.1434357911348343,104
105,1,480,0.17992858588695526,0.8963073492050171,105
106,1,490,0.18895624577999115,0.45519062876701355,106
107,1,500,0.3493165373802185,0.09583300352096558,107
108,1,510,0.2556506395339966,0.23845188319683075,108
109,1,520,0.10899963974952698,0.07239796966314316,109
110,1,530,0.15810132026672363,0.2460826337337494,110
111,1,540,0.3060271441936493,0.10606076568365097,111
112,1,550,0.142735093832016,0.3881511092185974,112
113,1,560,0.4382539391517639,0.07537795603275299,113
114,2,1,0.19555330276489258,0.8799183368682861,114
115,2,10,0.17307636141777039,0.08157528191804886,115
116,2,20,0.19652900099754333,0.16174596548080444,116
117,2,30,0.07292716205120087,0.24255746603012085,117
118,2,40,0.15911424160003662,0.14196442067623138,118
119,2,50,0.05881282314658165,0.03479587659239769,119
120,2,60,0.12461621314287186,0.0258660726249218,120
121,2,70,0.2201315015554428,0.03809820115566254,121
122,2,80,0.25480616092681885,0.08021603524684906,122
123,2,90,0.053478460758924484,0.041402120143175125,123
124,2,100,0.2515413463115692,0.46531376242637634,124
125,2,110,0.2927737236022949,0.035225365310907364,125
126,2,120,0.19171005487442017,0.0687226876616478,126
127,2,130,0.22694119811058044,0.07198312878608704,127
128,2,140,0.11389949172735214,0.09251488000154495,128
129,2,150,0.2599208950996399,0.48287713527679443,129
130,2,160,0.105902761220932,0.0816720500588417,130
131,2,170,0.0950998067855835,0.031186934560537338,131
132,2,180,0.5200946927070618,0.017510129138827324,132
133,2,190,0.16254720091819763,0.47907936573028564,133
134,2,200,0.25048789381980896,0.0337679348886013,134
135,2,210,0.19715836644172668,0.050807446241378784,135
136,2,220,0.27214282751083374,0.5916857123374939,136
137,2,230,0.2769850194454193,0.16622604429721832,137
138,2,240,0.12333272397518158,0.09799902886152267,138
139,2,250,0.1219797134399414,0.017102239653468132,139
140,2,260,0.12342232465744019,0.10724963247776031,140
141,2,270,0.15659159421920776,0.3886048197746277,141
142,2,280,0.25816506147384644,0.3068903982639313,142
143,2,290,0.0639781579375267,0.049822721630334854,143
144,2,300,0.19662824273109436,0.12224364280700684,144
145,2,310,0.21907417476177216,0.7785070538520813,145
146,2,320,0.4486280679702759,0.3963901698589325,146
147,2,330,0.2483891248703003,0.24836158752441406,147
148,2,340,0.09713330119848251,0.16517823934555054,148
149,2,350,0.16371513903141022,0.035319600254297256,149
150,2,360,0.23837658762931824,0.024984711781144142,150
151,2,370,0.2436227798461914,0.0813140720129013,151
152,2,380,0.044101618230342865,0.03935374319553375,152
153,2,390,0.19700956344604492,0.02585628256201744,153
154,2,400,0.26641151309013367,0.10938149690628052,154
155,2,410,0.10060946643352509,0.014683596789836884,155
156,2,420,0.16561535000801086,0.02668459340929985,156
157,2,430,0.10406377911567688,0.05297473445534706,157
158,2,440,0.17779985070228577,0.12421315163373947,158
159,2,450,0.1462285965681076,0.3718068599700928,159
160,2,460,0.1566304713487625,0.4361245334148407,160
161,2,470,0.06766989082098007,0.06340107321739197,161
162,2,480,0.12010989338159561,0.11963734775781631,162
163,2,490,0.22913436591625214,0.5555776357650757,163
164,2,500,0.34615299105644226,0.05101597309112549,164
165,2,510,0.1960536241531372,0.1168045848608017,165
166,2,520,0.1471729874610901,0.009913627989590168,166
167,2,530,0.10577774792909622,0.4801344573497772,167
168,2,540,0.38536325097084045,0.1496051549911499,168
169,2,550,0.16023418307304382,0.5764859914779663,169
170,2,560,0.3629167377948761,0.04030622914433479,170
